IL1,IL2,IL3,PF
14.73,16.3,11.449,0.77
18.722,16.157,14.24,0.89
18.353,16.817,15.259,0.89
17.316,17.266,12.094,0.82
16,17.075,10.351,0.8
13.236,16.881,11.272,0.83
14.241,17.169,12.501,0.83
14.845,17.023,12.198,0.82
14.786,17.057,13.238,0.84
15.382,18.103,14.113,0.87
15.369,19.341,13.439,0.84
17.137,21.017,13.831,0.84
15.966,19.353,16.706,0.82
17.286,20.152,17.533,0.85
22.379,24.829,19.837,0.93
14.388,15.613,10.742,0.81
15.09,16.601,11.941,0.84
15.59,17.133,14.925,0.88
14.208,16.759,12.362,0.82
13.591,16.865,13.475,0.82
13.999,17.646,13.667,0.81
17.435,18.576,14.023,0.83
19.836,19.617,12.637,0.85
22.869,20.022,13.709,0.86
21.997,18.153,12.337,0.84
16.828,15.809,10.829,0.83
15.717,17.418,11.512,0.84
14.845,17.986,11.115,0.81
15.27,17.49,13.152,0.82
14.31,16.113,13.528,0.76
15.456,16.771,14.84,0.79
19.719,16.688,13.118,0.78
21.442,16.181,12.326,0.77
21.021,15.982,11.269,0.77
24.171,21.106,13.348,0.83
19.222,19.745,14.007,0.84
15.864,17.818,13.147,0.81
21.849,24.826,20.801,0.91
15.346,16.844,13.485,0.78
16.633,16.708,13.131,0.77
