IL1,IL2,IL3,PF
16.124,5.112,17.38,0.84
14.331,4.461,19.913,0.86
13.892,4.972,15.407,0.87
20.316,8.501,15.555,0.85
24.959,11.585,14.684,0.86
13.885,4.379,14.628,0.87
14.474,4.369,15.438,0.86
14.18,4.367,14.996,0.86
13.896,4.37,14.628,0.87
14.493,4.423,20.125,0.86
13.923,4.393,15.135,0.87
14.374,4.392,15.227,0.86
13.946,4.405,14.671,0.86
13.954,4.407,14.681,0.86
13.918,4.413,14.677,0.86
13.921,4.421,15.326,0.86
13.933,4.467,19.412,0.87
14.35,4.422,15.255,0.86
13.882,4.429,14.684,0.86
13.854,4.43,14.697,0.87
13.855,4.423,14.701,0.86
13.883,4.441,17.109,0.86
14.414,4.446,18.253,0.85
13.889,4.426,14.149,0.86
13.888,4.426,14.124,0.86
13.954,4.418,14.122,0.86
13.908,4.421,14.144,0.86
14.511,4.466,18.984,0.86
14.588,4.91,16.585,0.85
13.924,4.431,14.132,0.87
13.908,4.428,14.133,0.87
14.235,4.425,14.55,0.86
13.922,4.436,15.026,0.87
16.553,6.506,19.242,0.86
25.404,11.86,14.544,0.85
16.659,6.504,14.482,0.86
13.896,4.426,14.467,0.87
13.877,4.434,14.149,0.87
14.396,4.458,17.522,0.86
13.923,4.463,17.226,0.87
13.976,4.431,14.156,0.86
13.94,4.421,14.095,0.86
13.678,4.413,14.032,0.86
13.648,4.414,14.021,0.86
13.64,4.45,18.242,0.86
13.513,4.423,15.267,0.87
13.458,4.402,13.895,0.87
13.4,4.397,13.853,0.87
13.422,4.412,13.81,0.87
13.455,4.449,14.875,0.87
13.497,4.488,18.373,0.87
13.464,4.442,13.927,0.87
13.451,4.441,13.92,0.87
13.495,4.438,13.932,0.87
13.71,4.435,13.932,0.87
15.163,4.73,18.021,0.86
13.711,4.464,16.767,0.87
14.147,4.44,14.551,0.86
13.675,4.448,13.956,0.87
13.721,4.44,13.957,0.87
13.736,4.442,13.965,0.87
13.765,4.485,18.423,0.87
14.262,4.448,15.577,0.86
15.01,4.431,15.606,0.85
16.083,5.922,14.019,0.91
18,6.6,15.069,0.91
17.183,7.995,14.632,0.92
16.661,6.48,13.939,0.89
25.291,11.711,18.315,0.86
19.207,7.314,17.209,0.84
13.672,4.417,14.276,0.87
13.684,4.417,14.251,0.87
14.018,4.428,15.854,0.87
14.042,6.134,19.333,0.86
15.03,4.409,15.631,0.85
13.479,4.422,13.902,0.86
13.439,4.428,13.912,0.87
14.307,4.425,15.016,0.85
13.456,4.469,17.431,0.87
14.782,4.452,17.643,0.85
13.446,4.438,14.121,0.87
13.915,4.435,14.915,0.86
13.933,4.416,17.314,0.86
14.059,4.498,22.052,0.86
