VL1,VL2,VL3,IL1,IL2,IL3,PFL1
129.83,132.07,129.39,2.63,24.265,12.071,0.9
129.82,132.07,129.28,7.781,25.414,16.147,0.91
129.74,131.77,129.21,0,28.653,13.181,0.93
129.47,131.67,129.03,5.458,26.987,14.474,0.92
129.7,131.86,129.22,0,26.353,12.787,0.91
129.71,131.96,129.3,0,24.207,11.606,0.9
129.8,131.98,129.28,0,26.269,12.491,0.92
129.56,131.89,129.1,10.523,26.847,15.941,0.9
129.38,131.58,128.94,17.484,34.951,21.537,0.93
129.43,131.66,129,17.574,34.669,21.477,0.93
129.6,131.83,129.09,13.806,32.335,19.157,0.92
129.85,132.16,129.33,5.645,26.425,14.571,0.92
129.96,132.16,129.43,1.787,27.27,12.834,0.92
129.91,132.18,129.45,1.98,26.637,12.743,0.92
130.01,132.25,129.52,0,26.923,12.515,0.92
130.24,132.49,129.77,0,25.724,11.526,0.91
130.09,132.38,129.64,0,25.235,11.819,0.91
130.23,132.54,129.81,5.408,24.01,13.4,0.9
130.23,132.49,129.84,0,23.144,10.966,0.89
130.53,132.77,130.09,0,23.347,11.044,0.9
130.59,132.77,130.22,1.509,23.157,11.105,0.9
130.86,133.01,130.46,1.281,24.613,11.678,0.91
130.89,132.96,130.46,0,25.443,11.454,0.91
130,132.23,129.66,5.19,23.604,13.099,0.9
129.84,132.02,129.47,3.654,24.037,12.411,0.9
129.79,131.92,129.37,0,25.826,12.09,0.92
130.08,132.22,129.68,1.81,24.501,11.738,0.91
130.35,132.4,129.96,0,23.586,11.256,0.9
130.17,132.18,129.81,0,25.146,11.338,0.91
130,132.06,129.6,3.979,23.851,12.619,0.9
130.38,132.41,130,0,23.124,10.804,0.9
130.67,132.68,130.2,2.698,25.414,12.765,0.91
130.58,132.64,130.23,0,23.754,11.372,0.9
130.64,132.63,130.24,0,26.208,13.253,0.92
130.9,132.96,130.61,0,22.476,10.857,0.89
130.86,132.82,130.52,5.103,24.17,13.343,0.91
131.27,133.17,130.81,0,20.354,13.403,0.88
131.35,133.29,131.01,0,15.44,0,0.82
131.12,132.99,130.78,0,16.596,4.803,0.84
130.75,132.7,130.48,0,16.696,4.92,0.84
131.06,133.03,130.85,0,15.396,0,0.82
130.87,132.75,130.7,1.127,16.416,5.814,0.84
131.07,132.91,130.84,0,16.007,3.035,0.83
131.05,132.86,130.87,0,15.379,0,0.82
131.29,133.04,131.08,1.186,16.101,8.449,0.83
131.63,133.3,131.39,0,15.365,0,0.82
131.55,133.18,131.32,0,17.038,5.717,0.85
131.2,132.84,131.02,0,15.665,2.281,0.82
131.39,132.92,131.23,0,16.452,0,0.84
131.28,132.79,131.11,0,15.378,0,0.82
131.31,132.79,131.16,0,15.381,0,0.82
131.21,132.65,130.99,0,16.538,4.663,0.84
131.33,132.76,131.14,0,15.374,0,0.82
131.38,132.79,131.16,1.127,15.971,6.869,0.83
131.68,133.01,131.49,0,16.135,4.534,0.84
130.75,131.97,130.61,0,17.272,4.299,0.86
130.51,131.78,130.41,7.015,17.894,8.094,0.84
129.48,130.74,129.46,13.862,24.597,16.665,0.89
130,131.21,129.96,13.561,24.507,16.595,0.88
130.91,132.08,130.8,10.626,21.527,13.164,0.87
131.2,132.41,131.12,0,15.899,3.088,0.83
131.59,132.76,131.57,0,16.411,0,0.85
131.92,133.09,131.82,0,15.208,0,0.82
131.26,132.4,131.14,0,15.302,0,0.82
131.37,132.56,131.26,0,15.247,0,0.83
131.18,132.33,131.08,0,15.313,0,0.82
130.93,132.02,130.82,0,15.359,0,0.82
130.9,131.99,130.85,0,15.357,0,0.82
130.91,131.91,130.84,0,17.303,3.951,0.86
131.04,132.12,130.99,0,15.338,0,0.82
130.94,132,130.89,0,15.363,0,0.82
131.13,132.18,131.06,0,15.949,3.321,0.84
131.03,132.03,130.96,0,17.414,5.922,0.86
131.33,132.28,131.22,0,16.023,3.676,0.84
131.46,132.44,131.39,0,15.257,0,0.83
131.22,132.15,131.21,0,16.454,0,0.85
131.23,132.19,131.17,0,16.004,3.52,0.84
131.25,132.22,131.21,0,15.339,0,0.82
131.08,132.02,131.03,0,15.35,0,0.82
131.2,132.18,131.18,0,15.307,0,0.83
131.04,131.97,131.04,0,15.372,0,0.82
130.84,131.9,130.86,1.179,15.378,11.815,0.82
131.25,132.16,131.23,0,16.45,5.674,0.85
131.27,132.16,131.25,0,15.343,0,0.82
131.1,132,131.12,0,15.371,0,0.82
130.99,131.93,131.02,0,15.375,0,0.82
130.97,131.9,131,0,15.372,0,0.82
131.06,131.96,131.04,0,15.363,0,0.82
131.3,132.14,131.24,2.537,16.196,4.475,0.84
131.25,132.12,131.24,3.024,16.397,5.053,0.84
130.95,131.86,130.97,1.141,15.444,1.954,0.82
131.12,132,131.1,0,15.315,0.528,0.82
131.25,132.09,131.24,0,15.308,0,0.82
131.21,132.07,131.24,0,15.372,0,0.82
130.98,131.83,130.98,0,15.378,0,0.82
130.79,131.59,130.75,0,16.173,0,0.84
130.89,131.75,130.91,0,15.767,0,0.83
131.05,131.87,131.03,0,15.379,0,0.82
131.1,131.98,131.08,0,15.379,0,0.82
130.93,131.78,130.87,0,15.38,0,0.83
130.75,131.45,130.58,0,19.597,9.209,0.89
131.18,131.99,131.14,0,15.366,0,0.82
131.24,132.07,131.17,1.182,15.892,5.539,0.84
131.14,131.92,131.09,0,16.072,0,0.84
130.88,131.72,130.84,0,15.38,0,0.83
130.86,131.71,130.81,1.998,15.572,3.523,0.82
130.8,131.72,130.8,2.767,15.653,8.033,0.83
131.25,132.09,131.22,0,15.521,4.137,0.82
131.12,131.95,131.09,12.806,22.777,15.495,0.87
131.26,132.07,131.2,13.762,24.013,16.843,0.88
131.32,132.14,131.27,13.598,25.054,16.646,0.89
131.38,132.23,131.35,4.353,16.817,5.97,0.84
131.47,132.35,131.41,0,16.952,5.19,0.85
131.58,132.47,131.54,0,15.351,0,0.82
131.53,132.42,131.54,0,15.365,0,0.82
131.86,132.72,131.81,0,15.285,0,0.82
132.09,133.01,132.04,0,15.226,0,0.82
131.91,132.73,131.87,0,16.405,0,0.85
131.99,132.88,131.95,0,15.235,0,0.83
132.08,132.93,132.01,0,15.226,0,0.83
131.62,132.49,131.59,1.196,15.328,5.405,0.82
131.19,132.08,131.2,0,15.373,0,0.82
130.9,131.8,130.89,0,15.369,0,0.83
130.63,131.5,130.6,1.116,16.575,4.933,0.85
131.12,131.97,131.1,2.5,17.196,5.092,0.86
